"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","2018-07-01","0.12",,"53","41"
"USW00025333","SITKA AIRPORT, AK US","2018-07-02","0.12",,"55","45"
"USW00025333","SITKA AIRPORT, AK US","2018-07-03","0.25",,"60","47"
"USW00025333","SITKA AIRPORT, AK US","2018-07-04","0.78",,"62","50"
"USW00025333","SITKA AIRPORT, AK US","2018-07-05","0.05",,"48","38"
"USW00025333","SITKA AIRPORT, AK US","2018-07-06","0.00",,"65","52"
"USW00025333","SITKA AIRPORT, AK US","2018-07-07","0.66",,"70","55"
"USW00025333","SITKA AIRPORT, AK US","2018-07-08","0.31",,"58","46"
"USW00025333","SITKA AIRPORT, AK US","2018-07-09","0.10",,"63","50"
"USW00025333","SITKA AIRPORT, AK US","2018-07-10","0.02",,"67","53"
"USW00025333","SITKA AIRPORT, AK US","2018-07-11","0.18",,"49","39"
"USW00025333","SITKA AIRPORT, AK US","2018-07-12","0.54",,"59","47"
"USW00025333","SITKA AIRPORT, AK US","2018-07-13","0.03",,"61","48"
"USW00025333","SITKA AIRPORT, AK US","2018-07-14","0.12",,"64","51"
"USW00025333","SITKA AIRPORT, AK US","2018-07-15","0.41",,"69","54"
"USW00025333","SITKA AIRPORT, AK US","2018-07-16","0.07",,"57","46"
"USW00025333","SITKA AIRPORT, AK US","2018-07-17","0.20",,"66","52"
"USW00025333","SITKA AIRPORT, AK US","2018-07-18","0.09",,"68","55"
"USW00025333","SITKA AIRPORT, AK US","2018-07-19","0.28",,"47","37"
"USW00025333","SITKA AIRPORT, AK US","2018-07-20","0.34",,"52","42"
"USW00025333","SITKA AIRPORT, AK US","2018-07-21","0.12",,"70","56"
"USW00025333","SITKA AIRPORT, AK US","2018-07-22","0.00",,"59","45"
"USW00025333","SITKA AIRPORT, AK US","2018-07-23","0.44",,"65","50"
"USW00025333","SITKA AIRPORT, AK US","2018-07-24","0.09",,"48","38"
"USW00025333","SITKA AIRPORT, AK US","2018-07-25","0.36",,"62","49"
"USW00025333","SITKA AIRPORT, AK US","2018-07-26","0.11",,"53","43"
"USW00025333","SITKA AIRPORT, AK US","2018-07-27","0.08",,"45","35"
"USW00025333","SITKA AIRPORT, AK US","2018-07-28","0.52",,"67","53"
"USW00025333","SITKA AIRPORT, AK US","2018-07-29","0.13",,"60","48"
"USW00025333","SITKA AIRPORT, AK US","2018-07-30","0.27",,"55","44"
"USW00025333","SITKA AIRPORT, AK US","2018-07-31","0.04",,"58","46"
